hydrophone 0,hydrophone 1,hydrophone 2,hydrophone 3
0.039062500,0.046386719,0.004882812,-0.012207031
0.039062500,0.051269531,0.007324219,-0.007324219
0.039062500,0.046386719,0.002441406,-0.012207031
0.036621094,0.048828125,0.007324219,-0.012207031
0.039062500,0.046386719,0.004882812,-0.012207031
0.039062500,0.051269531,0.004882812,-0.007324219
0.039062500,0.046386719,0.007324219,-0.012207031
0.036621094,0.046386719,0.007324219,-0.009765625
0.041503906,0.046386719,0.004882812,-0.012207031
0.041503906,0.043945312,0.007324219,-0.012207031
0.036621094,0.048828125,0.007324219,-0.007324219
0.039062500,0.046386719,0.007324219,-0.012207031
0.039062500,0.046386719,0.002441406,-0.014648438
0.039062500,0.046386719,0.007324219,-0.012207031
0.041503906,0.043945312,0.007324219,-0.012207031
0.036621094,0.046386719,0.007324219,-0.014648438
0.039062500,0.046386719,0.007324219,-0.009765625
0.039062500,0.046386719,0.004882812,-0.009765625
0.041503906,0.048828125,0.009765625,-0.009765625
0.041503906,0.048828125,0.007324219,-0.009765625
0.036621094,0.048828125,0.004882812,-0.012207031
0.041503906,0.046386719,0.007324219,-0.009765625
0.043945312,0.048828125,0.004882812,-0.009765625
0.043945312,0.048828125,0.007324219,-0.007324219
0.043945312,0.048828125,0.004882812,-0.007324219
0.041503906,0.051269531,0.004882812,-0.007324219
0.046386719,0.048828125,0.004882812,-0.007324219
0.043945312,0.053710938,0.004882812,-0.007324219
0.046386719,0.051269531,0.007324219,-0.007324219
0.043945312,0.051269531,0.007324219,-0.004882812
0.046386719,0.051269531,0.004882812,-0.007324219
0.048828125,0.056152344,0.009765625,-0.002441406
0.046386719,0.048828125,0.004882812,-0.002441406
0.046386719,0.051269531,0.004882812,-0.004882812
0.046386719,0.051269531,0.009765625,-0.002441406
0.048828125,0.051269531,0.007324219,-0.004882812
0.046386719,0.051269531,0.007324219,-0.002441406
0.043945312,0.051269531,0.004882812,0.000000000
0.046386719,0.051269531,0.007324219,-0.004882812
0.043945312,0.053710938,0.007324219,0.000000000
0.041503906,0.051269531,0.004882812,-0.007324219
0.043945312,0.051269531,0.004882812,-0.004882812
0.046386719,0.048828125,0.002441406,-0.004882812
0.046386719,0.048828125,0.007324219,-0.004882812
0.043945312,0.048828125,0.002441406,-0.007324219
0.043945312,0.051269531,0.002441406,-0.004882812
0.046386719,0.048828125,0.004882812,-0.004882812
0.046386719,0.048828125,0.004882812,0.000000000
0.046386719,0.048828125,0.004882812,-0.007324219
0.041503906,0.043945312,0.002441406,-0.009765625
