duty cycle,x_mag_raw,y_mag_raw,z_mag_raw
0.0,0.0,0.0,0.0
0.005,-9.20000000000018e-05,0.0,0.0
0.01,-9.20000000000018e-05,0.0,0.0
0.015,0.0,0.0,0.0001840000000000036
0.02,0.0,0.0,0.0001840000000000036
0.025,0.0,0.0,0.0001840000000000036
0.03,0.0,0.00018400000000000187,0.0002760000000000054
0.035,-0.0007360000000000005,9.200000000000007e-05,-0.00018399999999999667
0.04,-0.0006439999999999987,-0.0002760000000000002,9.20000000000018e-05
0.045,-0.0006439999999999987,-9.200000000000007e-05,0.0004600000000000021
0.05,-0.0001840000000000036,0.0,0.0002760000000000054
0.055,-0.0005520000000000039,-0.0002760000000000002,0.0
0.06,-0.00036800000000000027,0.0,0.0002760000000000054
0.065,-0.0007360000000000005,-0.00036800000000000027,0.0002760000000000054
0.07,-0.0007360000000000005,-0.0002760000000000002,0.0001840000000000036
0.075,-0.0007360000000000005,-0.0002760000000000002,0.0001840000000000036
0.08,-0.0006439999999999987,-0.0002760000000000002,9.20000000000018e-05
0.085,-0.0007360000000000005,-9.200000000000007e-05,9.20000000000018e-05
0.09,-0.0005520000000000039,0.00018400000000000187,9.20000000000018e-05
0.095,-0.0005520000000000039,0.00018400000000000187,9.20000000000018e-05
0.1,-0.0001840000000000036,-0.00018400000000000014,0.00036800000000000027
0.105,-0.00036800000000000027,-0.00018400000000000014,0.00036800000000000027
0.11,-0.00036800000000000027,-0.00018400000000000014,0.00036800000000000027
0.115,-0.0004600000000000021,0.0,0.0004600000000000021
0.12,-0.0004600000000000021,0.0,0.0004600000000000021
0.125,-0.0008280000000000023,-0.00036800000000000027,0.0002760000000000054
0.13,-0.0008280000000000023,-0.00036800000000000027,0.0002760000000000054
0.135,-0.0006439999999999987,0.00018400000000000187,9.20000000000018e-05
0.14,-0.0009200000000000041,-0.00018400000000000014,-9.199999999999486e-05
0.145,-0.0008280000000000023,-0.00018400000000000014,0.00036800000000000027
0.15,-0.0008280000000000023,-0.00018400000000000014,0.00036800000000000027
0.155,-0.0011040000000000008,-0.00036800000000000027,0.0001840000000000036
0.16,-0.0011040000000000008,-0.00036800000000000027,0.0001840000000000036
0.165,-0.001011999999999999,-0.0005519999999999987,0.0002760000000000054
0.17,-0.001011999999999999,-0.00018400000000000014,0.0
0.175,-0.001011999999999999,-0.00018400000000000014,0.0
0.18,-0.001288000000000001,-0.00018400000000000014,-9.199999999999486e-05
0.185,-0.001288000000000001,-0.00018400000000000014,-9.199999999999486e-05
0.19,-0.0015640000000000029,-9.200000000000007e-05,-0.00018399999999999667
0.195,-0.001288000000000001,0.0,0.00036800000000000027
0.2,-0.001288000000000001,0.0,0.00036800000000000027
0.205,-0.001288000000000001,0.0,0.00036800000000000027
0.21,-0.0011960000000000026,0.0,0.0004600000000000021
0.215,-0.0013799999999999993,-9.200000000000007e-05,9.20000000000018e-05
0.22,-0.0013799999999999993,-9.200000000000007e-05,9.20000000000018e-05
0.225,-0.0013799999999999993,-9.200000000000007e-05,9.20000000000018e-05
0.23,-0.0013799999999999993,-9.200000000000007e-05,9.20000000000018e-05
0.235,-0.0013799999999999993,-9.200000000000007e-05,9.20000000000018e-05
0.24,-0.002208000000000005,-0.00036800000000000027,0.0002760000000000054
0.245,-0.002208000000000005,-0.00036800000000000027,0.0002760000000000054
0.25,-0.0015640000000000029,-0.00018400000000000014,-0.00027599999999999847
0.255,-0.0020240000000000015,-0.00018400000000000014,9.20000000000018e-05
0.26,-0.0018400000000000048,-0.00018400000000000014,-0.00018399999999999667
0.265,-0.001472000000000001,0.00027600000000000194,-9.199999999999486e-05
0.27,-0.001748000000000003,-0.00036800000000000027,0.00036800000000000027
0.275,-0.001748000000000003,-9.200000000000007e-05,0.0005520000000000039
0.28,-0.0021160000000000033,-9.200000000000007e-05,0.0005520000000000039
0.285,-0.0023920000000000018,-0.00018400000000000014,0.0
0.29,-0.0023920000000000018,-9.200000000000007e-05,0.0007360000000000005
0.295,-0.0015640000000000029,-0.0002760000000000002,0.0001840000000000036
0.3,-0.002760000000000002,-9.200000000000007e-05,-0.00018399999999999667
0.305,-0.0029439999999999987,-0.00036800000000000027,0.0004600000000000021
0.31,-0.0031280000000000023,-0.0002760000000000002,-9.199999999999486e-05
0.315,-0.0031280000000000023,-0.0002760000000000002,-9.199999999999486e-05
0.32,-0.0029439999999999987,-0.00018400000000000014,0.0
0.325,-0.0029439999999999987,-0.00018400000000000014,0.0
0.33,-0.003220000000000004,-0.0005519999999999987,0.0001840000000000036
0.335,-0.003311999999999999,-9.200000000000007e-05,0.0002760000000000054
0.34,-0.002760000000000002,0.0,0.0005520000000000039
0.345,-0.003588000000000001,-0.00036800000000000027,9.20000000000018e-05
0.35,-0.0021160000000000033,-9.200000000000007e-05,0.0
0.355,-0.002852000000000004,0.0,0.0001840000000000036
0.36,-0.0031280000000000023,-0.00018400000000000014,0.0001840000000000036
0.365,-0.003772000000000001,-0.0005519999999999987,0.0004600000000000021
0.37,-0.003588000000000001,-0.00018400000000000014,0.00036800000000000027
0.375,-0.003588000000000001,-0.00018400000000000014,0.00036800000000000027
0.38,-0.0026680000000000002,-9.200000000000007e-05,0.0004600000000000021
0.385,-0.0031280000000000023,-0.0002760000000000002,-9.199999999999486e-05
0.39,-0.0031280000000000023,-0.0002760000000000002,-9.199999999999486e-05
0.395,-0.004692000000000002,-0.00018400000000000014,0.0002760000000000054
0.4,-0.0034960000000000026,-0.00018400000000000014,0.0005520000000000039
0.405,-0.0043240000000000015,-0.00036800000000000027,0.0006440000000000057
