ROV_heading,Camera_heading,Difference
-2.1065922287,-2.665434923,0.5588426943
-2.1263457024,-2.6820945655,0.555748863
-2.1435501714,-2.7334215695,0.5898713981
-2.1716510893,-2.7775910464,0.605939957
-2.1907686703,-2.777465576,0.5866969056
-2.2169371939,-2.8002772307,0.5833400368
-2.2332594308,-2.8447157563,0.6114563255
-2.2585194923,-2.8729272382,0.6144077459
-2.2780867788,-2.9045125831,0.6264258043
-2.3022336044,-2.949486987,0.6472533826
-2.3176686271,-2.956205361,0.6385367338
-2.3451513706,-2.9766581305,0.6315067599
-2.3616074063,-3.0276983263,0.66609092
-2.3877533283,-3.0274641433,0.639710815
-2.4018494057,-3.0477621951,0.6459127894
-2.4313638212,-3.0897269903,0.6583631691
-2.4507875839,-3.1080378236,0.6572502397
-2.6914992228,-3.1272563,0.4357570772
-2.6518962593,-3.0658031136,0.4139068543
-2.6202017295,-3.0089040108,0.3887022813
-2.5771900107,-3.0090112262,0.4318212155
-2.5521784846,-2.9819494829,0.4297709982
-2.5178639016,-2.9101427182,0.3922788166
-2.4743886343,-2.8769127372,0.4025241029
-2.4279571362,-2.8016408665,0.3736837303
-2.3828693284,-2.6679960727,0.2851267443
-2.3239471056,-2.6683110643,0.3443639587
-2.2546900697,-2.6285566861,0.3738666164
-2.1947918637,-2.5370986447,0.342306781
-2.1504687243,-2.4066165028,0.2561477785
-2.0929675225,-2.4057848216,0.3128172991
-2.0623061484,-2.3607357405,0.2984295921
-2.0036667665,-2.2785543938,0.2748876273
-1.9470215949,-2.1708577299,0.2238361349
-1.8978986952,-2.1704770189,0.2725783237
-1.8634897003,-2.1340238968,0.2705341966
-1.8108735056,-2.075449819,0.2645763134
-1.7714337517,-2.0196800184,0.2482462667
-1.7170057723,-1.9551386431,0.2381328708
-1.6886152038,-1.8866047783,0.1979895745
-1.6367483611,-1.7623944593,0.1256460982
-1.5997472259,-1.7216391797,0.1218919537
-1.5454655581,-1.7207189191,0.175253361
-1.5190517822,-1.6283266685,0.1092748863
-1.4728853288,-1.6279714782,0.1550861494
-1.4518328713,-1.554370967,0.1025380956
-1.413600848,-1.5197515184,0.1061506704
-1.3769122361,-1.4297926372,0.052880401
-1.3266489394,-1.3979106905,0.0712617511
-1.2907298857,-1.3254787559,0.0347488702
-1.2495173502,-1.297235234,0.0477178838
-1.2213862231,-1.2338368144,0.0124505912
-1.1939964917,-1.1942666087,0.000270117
-1.1620732507,-1.1512617716,-0.0108114791
-1.1285541897,-1.0850728475,-0.0434813421
-1.1031617979,-1.085838713,-0.0173230849
-1.0606769369,-1.0163189435,-0.0443579934
-1.0437196234,-0.9915888168,-0.0521308066
-1.0004841371,-0.9018039609,-0.0986801762
-0.9720152265,-0.8560156349,-0.1159995916
-0.937997344,-0.823906795,-0.114090549
-0.9209898223,-0.8238878935,-0.0971019288
-0.910208829,-0.7720594917,-0.1381493372
-0.861057404,-0.6729925531,-0.1880648509
-0.8235431724,-0.63752279,-0.1860203825
-0.7887609956,-0.5768091054,-0.2119518902
-0.7408008565,-0.5767431356,-0.1640577209
-0.7172650891,-0.5513407847,-0.1659243044
-0.6842202291,-0.5011050088,-0.1831152203
-0.6463680107,-0.4358987221,-0.2104692886
-0.605787438,-0.435386276,-0.170401162
-0.58910209,-0.4113018228,-0.1778002672
-0.5557881765,-0.3641162584,-0.1916719182
-0.5500170119,-0.3521252918,-0.1978917201
