ROV_heading,Camera_heading,Difference
0.4643144956133929,-0.0,0.4643144956133929
0.46945973516542044,0.42370541800044575,0.04575431716497469
0.4623166309622949,0.43308051637977973,0.029236114582515182
0.46002090123167755,0.43292833988973917,0.02709256134193838
0.4419586829239075,0.4321947479943616,0.009763934929545914
0.44262819552418337,0.4293027575480585,0.013325437976124843
0.4439316695097124,0.4285707938277083,0.015360875682004116
0.45449897288247976,0.4285551063406954,0.025943866541784377
0.45870837785887564,0.4258628886458161,0.03284548921305952
0.4652741845876692,0.43031855086281,0.034955633724859214
0.45710637232775553,0.4294553176989458,0.027651054628809735
0.46032208891501947,0.4323585212424027,0.027963567672616763
0.4613606309179483,0.4378571557223838,0.023503475195564505
0.4634828336674303,0.4294736032929926,0.034009230374437704
0.4618480024368582,0.42934874245320354,0.03249925998365466
0.455246411180678,0.4358010916105782,0.019445319570099817
0.459947373525462,0.4357398749467996,0.02420749857866239
0.4687567917182777,0.4250335563578148,0.04372323536046291
0.4615561046983813,0.4243479413726262,0.037208163325755106
0.46589334654156134,0.4382731040629466,0.02762024247861472
0.4664666422895174,0.4362630133072516,0.030203628982265807
0.46721059745898247,0.44316562544808624,0.024044972010896226
0.4726840987435401,0.4344453365162413,0.03823876222729883
0.46901181791838914,0.4318468035016825,0.037165014416706665
0.47008074776428266,0.446732738656875,0.02334800910740764
0.4581492749486471,0.4352736145477971,0.022875660400849984
0.4652256085571316,0.43607374757166895,0.02915186098546263
0.4620619556493632,0.4348127387310849,0.027249216918278307
0.47020269158789463,0.4401381905445541,0.03006450104334052
0.46637560535107636,0.4406604168591952,0.025715188491881147
0.4571159456545377,0.42986995414367984,0.02724599151085788
0.4571245278007462,0.4395017044115502,0.01762282338919602
0.4578456310640039,0.4287494247158156,0.02909620634818827
0.443683231143281,0.42117164645124805,0.02251158469203296
0.44324880996559435,0.4068855459488208,0.03636326401677353
0.4376276646212568,0.40659353250350866,0.031034132117748137
0.424799530434841,0.3918028518822317,0.03299667855260929
0.41640946347629487,0.3904064596492512,0.02600300382704368
0.4098974284568666,0.37888927079152535,0.031008157665341263
0.3945075110845173,0.368044231730719,0.02646327935379833
0.3926432232210128,0.36795286405281286,0.02469035916819995
0.3921049176423145,0.3478504426612559,0.044254474981058556
0.39239628009984895,0.31952536568069917,0.07287091441914978
0.34028531330009343,0.31956457791432497,0.020720735385768463
0.33560729823950447,0.29807650445384176,0.03753079378566271
0.3070559004362081,0.2837648428370928,0.023291057599115317
0.2839609825709707,0.26936185610518265,0.014599126465788037
0.2627364570386731,0.24218833312449736,0.020548123914175737
0.2368531344771785,0.24034451650970606,-0.0034913820325275513
0.2163424991154459,0.19224569650007892,0.02409680261536698
0.1997066344453615,0.1920272395239864,0.007679394921375093
0.16363891070954723,0.15172312607202376,0.011915784637523463
0.12527220623252852,0.09335242164631402,0.0319197845862145
0.11692516100379646,0.09315731568524074,0.02376784531855572
0.08404443378930918,0.06033880816544023,0.023705625623868944
0.07308087881961617,0.012493656209103376,0.06058722261051279
0.026409141113853507,0.01251111303569244,0.013898028078161068
0.0016378882003084683,-0.011605234651988327,0.013243122852296795
-0.025413571264057633,-0.0418983370253936,0.016484765761335965
-0.04642835448078181,-0.04194764649283392,-0.004480707987947891
-0.07342817555027936,-0.0778911231182371,0.004462947567957731
-0.08983948289552046,-0.13032480861148663,0.040485325715966164
-0.12203181878806202,-0.13046574780397682,0.008433929015914804
-0.13428520968144136,-0.1390153463415188,0.004730136660077433
-0.16257380715939063,-0.16475484814387895,0.0021810409844883194
-0.18739748164371994,-0.17805523118474614,-0.0093422504589738
-0.21009009455293676,-0.20515734114324932,-0.004932753409687435
-0.2310163092631085,-0.22177708357778927,-0.009239225685319236
-0.23975227000754146,-0.24599487221222432,0.006242602204682868
-0.24417486718817505,-0.26646413439485067,0.022289267206675623
-0.29404688691135017,-0.29286208977945,-0.0011847971319001727
-0.32261594821490197,-0.3067791554633802,-0.015836792751521778
-0.34399141718626214,-0.33338974797569,-0.010601669210572151
-0.36564851477963034,-0.34969057345539756,-0.015957941324232783
-0.3729015323354528,-0.3704993847077541,-0.002402147627698692
-0.3930524584632509,-0.3794402255754318,-0.013612232887819098
-0.4184974543182818,-0.4300881635779161,0.011590709259634346
-0.4315292076588408,-0.42966604294155814,-0.0018631647172826504
-0.436649056818772,-0.43059262087786904,-0.006056435940902938
-0.4623122196498362,-0.4783743153390231,0.016062095689186873
-0.4888055267286884,-0.47819936403800484,-0.01060616269068354
-0.5123520774549964,-0.500331758053242,-0.012020319401754409
-0.540852441409029,-0.5204673658287537,-0.020385075580275247
-0.5563058458724802,-0.5330331578585733,-0.023272688013906917
-0.5694272404760894,-0.5375237937301517,-0.0319034467459377
-0.5763062096014486,-0.5644473978387632,-0.01185881176268544
-0.5828576518483354,-0.5898742225598552,0.007016570711519843
-0.6045842755491921,-0.6062004673223687,0.0016161917731765119
-0.6213096493656097,-0.6060032216478831,-0.015306427717726612
-0.6370719775696201,-0.6369493494423685,-0.00012262812725161165
-0.6516844147399238,-0.6370389910779647,-0.01464542366195909
-0.6751352895520253,-0.6760585722872484,0.0009232827352231299
-0.6887125894776869,-0.6882799840918533,-0.0004326053858335621
-0.707070138181614,-0.6881446978674444,-0.01892544031416965
-0.7161485036251279,-0.7063031103279341,-0.009845393297193805
-0.7373497231542803,-0.706649533397312,-0.03070018975696831
-0.7487539881486969,-0.747901506653844,-0.0008524814948528414
-0.7783118788882759,-0.7632084951041761,-0.01510338378409981
-0.7890675042810764,-0.7632452194292687,-0.02582228485180771
