Time,Velocity,Position
0.05208683,0.000793766304597743,4.135442276557476e-05
0.068107843,0.001035054712243461,5.752394397477088e-05
0.085667848,0.0008015867777755704,7.124472328645121e-05
0.097208976,0.0007497684011524929,7.962797075287177e-05
0.11097598,0.0008348335950617631,9.07196642330586e-05
0.124110937,0.0006506673752081087,9.904695149835561e-05
0.137794017,0.0005896922704806465,0.00010693593901884038
0.165377855,0.0009508145791133594,0.00013270286958899638
0.177191972,0.000975261391078899,0.00014397011222793907
0.190764904,0.0012833886254466726,0.00016109816163743947
0.204367876,0.0010920533095770055,0.0001755034204632701
0.216835975,0.0011394620820215258,0.0001894164006148236
0.247663974,0.001133947960565238,0.00022402444928125217
0.257797002,0.0012043950746754017,0.00023589983048456447
0.270824909,0.001099504892817251,0.00024990872017988455
0.284008026,0.0010963478080957406,0.000263902478386419
0.297574043,0.0009643131386227793,0.0002767425016541222
0.325400829,0.0014580374826786949,0.000316914188534725
0.337877035,0.0013711462930468688,0.0003336573724665552
0.350493908,0.0012373880493588233,0.00034897255405078254
0.363574981,0.0012521951809924352,0.0003649104630095747
0.377684831,0.0010481287926247108,0.0003794290183176859
0.405282974,0.0011792994603746537,0.0004116321887783182
0.417237997,0.0015275140202049113,0.0004294795724670652
0.43099904,0.001782034821958563,0.00045343205576400494
0.443893909,0.001739578134781109,0.0004752950685431995
0.457190036,0.0017894140291518385,0.0004984896357092966
0.485504865,0.0021293900554511733,0.0005581168650180116
0.497673034,0.002023380421679444,0.0005819687344448434
0.511348962,0.002157318546263386,0.00061092223177872
0.52501893,0.002666291680583631,0.0006466049787063028
0.53796792,0.0024857931777205584,0.0006781445286533534
0.565515041,0.002106902296660479,0.0007356401056760703
0.577227831,0.0022326997243600427,0.0007612041022378441
0.590777874,0.002110087189189993,0.0007892595872856362
0.604575872,0.002049639290552037,0.0008168006580708805
0.617234945,0.0025483585302176186,0.0008483393216259508
0.646353006,0.0025346341595921256,0.0009207439902542269
0.657456875,0.0022933446618176403,0.0009455944115683915
0.671579838,0.0022095087503700463,0.0009762244977389501
0.69274497,0.0021827985731068373,0.0010216243550027104
0.70916605,0.002276124966206411,0.0010584179560516865
0.72585988,0.0021754343682897376,0.0010942078433321184
0.738174915,0.0021832254307787425,0.001120391115280893
0.750953912,0.002175912410224,0.0011475029686808971
0.764475822,0.0023469639446326122,0.0011783134513411008
0.777835846,0.0022879498103590204,0.0012082668395322084
0.805759906,0.002556690012679135,0.0012789462076764015
0.818022012,0.002808599928729702,0.0013126241968281975
0.831918001,0.003124914796198751,0.0013551703242671966
0.844185829,0.003081472292177391,0.0013920644962000964
0.858072042,0.002944571160918315,0.0014320843130212664
0.886001825,0.0034691599713835572,0.0015280582767135953
0.897100925,0.003491798865945269,0.0015658467265651892
0.911125898,0.003950239082009518,0.0016200554506129803
0.924572944,0.0040761659284509685,0.0016732205811814877
0.937649011,0.004352347968332708,0.0017289180873569536
0.970461845,0.004042720329444106,0.0018604068545533452
0.978001833,0.003805281506622207,0.001887960939800893
0.991067886,0.003871523607601158,0.001937473897805264
1.013066053,0.004188522623816887,0.0020284453295813525
1.028131962,0.004228917223490192,0.0020909277422572745
1.045537948,0.004789731018644006,0.002172894265487399
1.057600975,0.004611775846538629,0.002227244186803908
1.070891857,0.004709852989085725,0.002288490295559559
1.083689928,0.004597667350714743,0.0023459799924772985
1.097430944,0.00485877136357336,0.0024113161145067523
1.126775026,0.004590040884648695,0.0025447262587044634
1.138036012,0.004756155395550303,0.0025967113273033075
1.150552034,0.00491836713172509,0.0026569716138909794
1.164610862,0.005087409595680191,0.0027270609423766285
1.177296877,0.005138943727870268,0.002790799323100728
1.205894947,0.00478609028580493,0.0029261934140830865
1.2189388270000001,0.005167910476878842,0.0029916759767281554
1.23081398,0.005258312776938481,0.0030525671913602882
1.243979931,0.005049406117667494,0.003117572680185654
1.2571790219999999,0.005281487714823513,0.0031855193734965357
1.285001993,0.00523560738778921,0.0033294669221784726
1.297435999,0.0051522681159332125,0.003392067237400467
1.310945987,0.005238469243734012,0.003461513760364849
1.324275016,0.005088104278817137,0.0035274359619120116
1.3368389600000001,0.005358380823850358,0.0035928727121513435
1.364132881,0.004450421012658531,0.0037129935406081194
1.3771739,0.0046487047612081426,0.0037722873839948342
1.391005993,0.004972487146825814,0.003839773870156837
1.412065029,0.004692612167580458,0.003937089847864642
1.432212829,0.00497136856994988,0.0040358652242756905
1.4470360279999999,0.0050680380756427616,0.004109373036792238
1.4579570290000001,0.004944454836375845,0.0041619721423971495
1.471017837,0.004965780323533825,0.004225414445301025
1.483973026,0.0052649855650529435,0.004292006540816284
1.497144937,0.0054345396984471946,0.004362145112320382
1.526193857,0.0050200488351174995,0.004506501149678283
1.5374310009999999,0.004978742549181262,0.004561014069000771
1.550829887,0.004893945027585084,0.004625242149709402
1.572540998,0.005278255092512157,0.004738302384347522
1.591603994,0.0055989990336286445,0.004843547659423486
1.606968879,0.005276229455821248,0.004922959598025353
1.6174428459999999,0.005515741212052751,0.004979197935466948
1.630940914,0.0054119633292950995,0.0050508902840456435
1.644068956,0.005400985182474412,0.005120061408806652
1.657441854,0.005703557412188326,0.005194691818746706
1.685879945,0.006140844612925493,0.0053675497721221935
1.697512865,0.006280097118870772,0.00543845103237822
1.710948944,0.006120551419329316,0.0055189667883706744
1.725544929,0.006405838107904723,0.00561051292825097
1.738893985,0.006204003134908098,0.005691555529614127
1.764937877,0.006591579006976403,0.005861465758630634
1.777534961,0.0067546358631002485,0.005944655772864946
1.791057825,0.0067386666200332885,0.00603386835355157
