x_mag,y_mag,z_mag,force (kg)
-0.0011933387434554955,0.0013719277419355358,0.0007499707784431597,0.0
-0.0011933387434554955,0.0013719277419355358,0.0007499707784431597,0.005
-0.0011933387434554955,0.0013719277419355358,0.0007499707784431597,0.01
-0.0011933387434554955,0.0008317987096774712,0.0012512881437126283,0.015
-0.0011933387434554955,0.0008317987096774712,0.0012512881437126283,0.02
-0.0007988465968586343,0.0008317987096774712,0.0012512881437126283,0.025
-0.0007988465968586343,0.0008317987096774712,0.0012512881437126283,0.03
-0.0007988465968586343,0.0008317987096774712,0.0012512881437126283,0.035
-0.0007988465968586343,0.0008317987096774712,0.0012512881437126283,0.04
-0.0014563335078534023,0.0016419922580645646,0.0005494438323353779,0.045
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.05
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.055
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.06
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.065
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.07
-0.0003386057591622995,0.0001566374193548853,0.0009504977245509416,0.075
-0.0003386057591622995,0.0032623793548387583,-0.000854244790419123,0.08
-0.0006673492146596835,0.0032623793548387583,-0.000854244790419123,0.085
-0.0006673492146596835,0.0032623793548387583,-0.000854244790419123,0.09
-0.0006673492146596835,0.0032623793548387583,-0.000854244790419123,0.095
-0.0006673492146596835,0.0032623793548387583,-0.000854244790419123,0.1
-0.0006673492146596835,0.0032623793548387583,-0.000854244790419123,0.105
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.11
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.115
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.12
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.125
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.13
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.135
-0.0014563335078534023,0.0013719277419355358,0.000348916886227596,0.14
-0.00047010314136125553,-0.0014637496774193084,0.0012512881437126283,0.145
-0.0009303439790575904,0.0005617341935484355,0.00014838994011980716,0.15
-0.0009303439790575904,0.0005617341935484355,0.00014838994011980716,0.155
-0.0013248361256544463,-0.0014637496774193084,-0.0001524004790418726,0.16
-0.0013248361256544463,-0.001328717419354801,0.0009504977245509416,0.165
-0.0014563335078534023,-0.001328717419354801,0.0009504977245509416,0.17
-0.0014563335078534023,-0.001328717419354801,0.0009504977245509416,0.175
-0.0017850769633507828,0.003802508387096823,-0.0017566160479041484,0.18
-0.0013905848167539234,-0.0003834916129031793,-0.000954508263473007,0.185
