duty cycle,roll_raw,pitch_raw,yaw_raw,roll_corr,pitch_corr,yaw_corr
0.23,-0.0008075237274169922,-0.03953146934509277,0.030601978302001953,-0.00012946128845214844,-0.008887052536010742,-0.0018336772918701172
0.235,0.006873130798339844,-0.03485846519470215,0.04037904739379883,0.004818439483642578,-0.0028824806213378906,0.009013891220092773
0.24,0.0009667873382568359,-0.03580021858215332,0.030601978302001953,-0.0010476112365722656,-0.0034606456756591797,-0.002677440643310547
0.245,0.0072896480560302734,-0.03298234939575195,0.03948616981506348,0.007376194000244141,-0.0010542869567871094,0.014325380325317383
0.25,0.0072896480560302734,-0.03298234939575195,0.03948616981506348,0.007066965103149414,-6.604194641113281e-05,0.013855218887329102
0.255,0.0072896480560302734,-0.03298234939575195,0.03948616981506348,0.006751060485839844,0.0009438991546630859,0.013377904891967773
0.26,0.0072896480560302734,-0.03298234939575195,0.03948616981506348,0.006428956985473633,0.0019752979278564453,0.0128936767578125
0.265,0.007698535919189453,-0.049852848052978516,0.05532574653625488,0.009228944778442383,-0.008713006973266602,0.016960859298706055
0.27,7.557868957519531e-05,-0.03392219543457031,0.02739739418029785,-0.0028219223022460938,0.003195524215698242,-0.004935264587402344
0.275,-0.006267547607421875,-0.04618954658508301,0.026340723037719727,-0.011928081512451172,-0.002974987030029297,-0.024045705795288086
0.28,-0.0008075237274169922,-0.043285369873046875,0.0338592529296875,-0.003345966339111328,-0.0010497570037841797,-0.006757259368896484
0.285,-0.003487110137939453,-0.04796648025512695,0.033030033111572266,0.0021250247955322266,-0.0031366348266601562,0.003650188446044922
0.29,7.557868957519531e-05,-0.04900860786437988,0.04053688049316406,-0.006850719451904297,-0.0019805431365966797,-0.013832330703735352
0.295,0.005465269088745117,-0.053635597229003906,0.05470705032348633,0.004273176193237305,-0.004296779632568359,0.00771641731262207
0.3,0.005465269088745117,-0.053635597229003906,0.05470705032348633,0.003901958465576172,-0.0030956268310546875,0.007169246673583984
0.305,0.010392189025878906,-0.056532859802246094,0.06653833389282227,0.009223461151123047,-0.003310680389404297,0.01766681671142578
0.31,0.0005517005920410156,-0.048876285552978516,0.041297197341918945,-0.008281230926513672,-0.005022287368774414,-0.01730513572692871
0.315,0.0005517005920410156,-0.048876285552978516,0.041297197341918945,-0.0025360584259033203,0.0019571781158447266,-0.004607439041137695
0.32,0.0005517005920410156,-0.048876285552978516,0.041297197341918945,0.002274751663208008,0.0028307437896728516,0.004920005798339844
0.325,-0.003053426742553711,-0.0603487491607666,0.04496049880981445,-0.009699583053588867,-0.0005257129669189453,-0.01911187171936035
0.33,-0.0003669261932373047,-0.05945158004760742,0.04920339584350586,-0.0073239803314208984,0.0017178058624267578,-0.01398921012878418
0.335,-0.0021173954010009766,-0.0668325424194336,0.05277371406555176,-0.00736236572265625,-0.0028731822967529297,-0.015027523040771484
0.34,0.013915538787841797,-0.05076003074645996,0.0675358772277832,-0.010669946670532227,-0.005003213882446289,-0.022031307220458984
0.345,0.013915538787841797,-0.05076003074645996,0.0675358772277832,-0.010693550109863281,-0.0025243759155273438,-0.021511316299438477
0.35,0.010856866836547852,-0.06906580924987793,0.07959580421447754,0.005478620529174805,0.0014338493347167969,0.010958433151245117
0.355,0.010856866836547852,-0.06906580924987793,0.07959580421447754,0.005035400390625,0.002885103225708008,0.010306835174560547
0.36,0.010856866836547852,-0.06906580924987793,0.07959580421447754,0.0045850276947021484,0.004358053207397461,0.009649991989135742
0.365,-0.0024840831756591797,-0.0777425765991211,0.06254696846008301,-0.006584644317626953,-0.0031833648681640625,-0.01355886459350586
0.37,0.0063016414642333984,-0.07964658737182617,0.08152484893798828,0.0043752193450927734,-0.0028505325317382812,0.008142948150634766
0.375,0.005887508392333984,-0.07239961624145508,0.07345962524414062,-0.007903575897216797,-0.002409219741821289,-0.015995025634765625
0.38,0.010309696197509766,-0.08006811141967773,0.08969640731811523,0.0007452964782714844,0.0045757293701171875,0.0022346973419189453
0.385,0.011501789093017578,-0.08788132667541504,0.10019540786743164,0.01172780990600586,-0.004386186599731445,0.022497892379760742
0.39,-0.0037565231323242188,-0.07650113105773926,0.058854103088378906,-0.008671283721923828,0.004082679748535156,-0.016110658645629883
0.395,-0.0037565231323242188,-0.07650113105773926,0.058854103088378906,-0.009165287017822266,0.005669355392456055,-0.016728639602661133
0.4,0.00543975830078125,-0.08863091468811035,0.0891108512878418,-0.0016107559204101562,0.002307891845703125,-0.0027396678924560547
0.405,0.0036683082580566406,-0.09196591377258301,0.0891108512878418,0.006295919418334961,0.01113128662109375,0.013916969299316406
0.41,-0.0016262531280517578,-0.0952763557434082,0.08200383186340332,-0.011210441589355469,0.0012369155883789062,-0.021669864654541016
0.415,0.0006124973297119141,-0.09170031547546387,0.08275270462036133,-0.005497455596923828,0.003056049346923828,-0.010162830352783203
0.42,0.010229349136352539,-0.09774541854858398,0.10836148262023926,0.00529170036315918,0.0019371509552001953,0.010666847229003906
0.425,0.010229349136352539,-0.09774541854858398,0.10836148262023926,0.004767894744873047,0.0036695003509521484,0.009902715682983398
0.43,0.017239809036254883,-0.11054301261901855,0.13690948486328125,0.012832403182983398,-0.0018165111541748047,0.024983644485473633
0.435,0.013793230056762695,-0.09916377067565918,0.11700057983398438,0.00638580322265625,0.007620334625244141,0.013603687286376953
0.44,0.013793230056762695,-0.09916377067565918,0.11700057983398438,0.005839347839355469,0.009429216384887695,0.012806415557861328
0.445,0.002794027328491211,-0.11878204345703125,0.11700057983398438,-0.005879878997802734,-0.0026001930236816406,-0.012049198150634766
0.45,0.002794027328491211,-0.11878204345703125,0.11700057983398438,-0.006445646286010742,-0.0007562637329101562,-0.012783288955688477
0.455,0.015382528305053711,-0.10983514785766602,0.13235020637512207,-0.0070188045501708984,0.0011093616485595703,-0.013520002365112305
0.46,0.015843868255615234,-0.1090402603149414,0.13235020637512207,0.009714841842651367,0.008792638778686523,0.020163297653198242
0.465,0.004973888397216797,-0.1286001205444336,0.1332404613494873,-0.005300283432006836,-0.0009191036224365234,-0.010569095611572266
0.47,0.004088640213012695,-0.13777995109558105,0.14269566535949707,0.006451606750488281,0.006809711456298828,0.013617753982543945
0.475,0.008044242858886719,-0.10355329513549805,0.11042165756225586,-0.0037767887115478516,0.018730878829956055,-0.003928184509277344
