Duty Cycle (%),Roll,Pitch,Yaw
0.0,-0.0005086362361907959,-0.005402907729148865,-0.015236496925354004
0.002,-0.0020762383937835693,-0.008471425622701645,-0.017404019832611084
0.004,-0.0022557973861694336,-0.012202154844999313,-0.01708054542541504
0.006,0.0004846304655075073,-0.005663380026817322,-0.015021026134490967
0.008,0.002572759985923767,-0.003565669059753418,-0.01335906982421875
0.01,-0.0002878159284591675,-0.01287105679512024,-0.016971468925476074
0.012,-0.006571069359779358,-0.008491065353155136,-0.01808321475982666
0.014,0.001431286334991455,-0.0015090741217136383,-0.01591700315475464
0.016,0.0026448071002960205,-0.013539351522922516,-0.015915989875793457
0.018,0.000759616494178772,-0.009976916015148163,-0.015867412090301514
0.02,-0.006215915083885193,-0.0042257159948349,-0.01487666368484497
0.022,-0.004180207848548889,-0.003837183117866516,-0.01413506269454956
0.024,-0.0038879066705703735,-0.003677584230899811,-0.013673961162567139
0.026,-0.0013602524995803833,-0.010358516126871109,-0.013227760791778564
0.028,-0.001234680414199829,-0.009923435747623444,-0.014558017253875732
0.029999999999999995,0.004759728908538818,-0.006880559027194977,-0.014232218265533447
0.032,0.0037240535020828247,-0.00590081512928009,-0.014356076717376709
0.034,-0.002164185047149658,0.0018313191831111908,-0.01285475492477417
0.036,-0.008259788155555725,-0.001817513257265091,-0.01854538917541504
0.038,0.0005336403846740723,-0.007811468094587326,-0.01603102684020996
0.04,0.009005606174468994,-0.009216129779815674,-0.016129016876220703
0.042,0.006391540169715881,-0.0038752183318138123,-0.014521896839141846
0.044,-0.004288718104362488,-0.006349571049213409,-0.018787145614624023
0.046,-0.002009361982345581,-0.009269144386053085,-0.02199774980545044
0.048,-0.003996372222900391,-0.009326264262199402,-0.023851215839385986
0.05,0.0018578767776489258,-0.003555290400981903,-0.02049565315246582
0.052,0.00327146053314209,-0.003218643367290497,-0.01843845844268799
0.054,-0.0021357685327529907,0.0001235567033290863,-0.016411662101745605
0.056,-0.005144834518432617,-0.00411871075630188,-0.01276552677154541
0.058,0.006643578410148621,-0.003995765000581741,-0.007882416248321533
