force (kg),x_mag,y_mag,z_mag
0.0,0.0006706366492146721,-0.0065639180645161305,-0.002485030179640739
0.00472,0.0006048879581151967,-0.006698950322580643,-0.002785820598802412
0.00944,0.0006706366492146721,-0.006293853548387097,-0.00228450323353295
0.014159999999999999,0.0006048879581151967,-0.006428885806451611,-0.00258529365269463
0.01888,0.0006048879581151967,-0.006293853548387097,-0.002184239760479059
0.0236,0.0005391392670157195,-0.0061588212903225786,-0.002384766706586848
0.028319999999999998,0.0005391392670157195,-0.0061588212903225786,-0.002384766706586848
0.03304,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.03776,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.04248,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.0472,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.051919999999999994,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.056639999999999996,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.06135999999999999,0.0006048879581151967,-0.006293853548387097,-0.00258529365269463
0.06608,0.0005391392670157195,-0.0061588212903225786,-0.00258529365269463
0.07079999999999999,0.0005391392670157195,-0.0061588212903225786,-0.00258529365269463
0.07552,0.0005391392670157195,-0.0061588212903225786,-0.00258529365269463
0.08024,0.0005391392670157195,-0.0061588212903225786,-0.00258529365269463
0.08496,0.000933631413612579,-0.004673466451612908,-0.0033874014371257713
0.08968,0.000933631413612579,-0.004673466451612908,-0.0033874014371257713
0.0944,0.000736385340314151,-0.009534627741935487,-0.0034876649101796553
0.09912,0.0006706366492146721,-0.00548366,-0.0034876649101796553
0.10383999999999999,0.000736385340314151,-0.009534627741935487,-0.0017831858682634885
0.10855999999999999,0.000736385340314151,-0.005618692258064519,-0.003788455329341335
0.11327999999999999,0.000736385340314151,-0.005618692258064519,-0.003788455329341335
0.118,0.0008021340314136281,-0.006023789032258065,-0.002785820598802412
0.12271999999999998,0.000933631413612579,-0.00764417612903226,-0.0018834493413173795
0.12744,0.0006706366492146721,-0.007239079354838714,-0.003888718802395226
0.13216,0.000736385340314151,-0.005618692258064519,-0.0029863475449102006
0.13688,0.0008678827225131001,-0.007509143870967745,-0.002184239760479059
0.14159999999999998,0.0008021340314136281,-0.005078563225806454,-0.002785820598802412
