force (kg),x_mag,y_mag,z_mag
0.0,-0.00010782785340319317,2.36306451613065e-05,-0.00020102826347295766
0.001,-0.00010782785340319317,2.36306451613065e-05,-0.00020102826347295766
0.002,-0.00017357654450267032,0.00015866290322581397,-5.013173651757796e-07
0.003,-0.00017357654450267032,-0.00011140161290321485,0.00020002562874261304
0.004,-0.00017357654450267032,-0.0003814661290322506,0.0005008160479042859
0.005,-0.00017357654450267032,-0.0003814661290322506,0.0005008160479042859
0.006,-0.0005023200000000509,-0.0003814661290322506,-0.00020102826347295766
0.007,-0.0003708226178010983,-0.0002464338709677327,-0.0003012917365268486
0.008,-0.0006995660732984823,-0.0003814661290322506,-0.00010076479041906672
0.009,-0.0006995660732984823,-0.0003814661290322506,-0.00010076479041906672
0.01,-0.0006338173821990051,-0.0005164983870967615,0.00020002562874261304
0.011,-0.0006338173821990051,-0.0005164983870967615,0.00020002562874261304
0.012,-0.0006338173821990051,-0.0005164983870967615,0.00020002562874261304
0.013,-0.0006995660732984823,-0.0009215951612903048,0.00030028910179649704
0.014,-0.0006995660732984823,-0.0009215951612903048,0.00030028910179649704
0.015,-0.0004365713089005772,-0.0003814661290322506,-5.013173651757796e-07
0.016,-0.0006338173821990051,-0.0007865629032257973,0.00020002562874261304
0.017,-0.0006338173821990051,-0.0007865629032257973,0.00020002562874261304
0.018,-0.00030507392670162115,-0.0005164983870967615,0.00030028910179649704
0.019,8.94182198952348e-05,-0.00011140161290321485,9.976215568871516e-05
0.02,0.00015516691099471368,0.00015866290322581397,-0.0005018186826346374
0.021,0.00015516691099471368,0.00015866290322581397,-0.0005018186826346374
0.022,0.00035241298429314165,0.00029369516129033185,-0.0003012917365268486
0.023,8.94182198952348e-05,0.00015866290322581397,-0.00020102826347295766
0.024,-0.00010782785340319317,2.36306451613065e-05,-0.0006020821556885284
0.025,-0.00010782785340319317,2.36306451613065e-05,-0.0006020821556885284
0.026,-0.0004365713089005772,-0.0002464338709677327,-0.0009028725748502012
0.027,-0.0008310634554974331,2.36306451613065e-05,-0.00110339952095799
0.028,-0.0008310634554974331,-0.0003814661290322506,-0.0003012917365268486
0.029,-0.0008310634554974331,-0.0003814661290322506,-0.0003012917365268486
0.03,-0.0004365713089005772,-0.0005164983870967615,0.0005008160479042859
0.031,2.366952879575765e-05,-0.0003814661290322506,0.0006010795209581837
0.032,0.00022091560209419082,-0.00011140161290321485,-0.0003012917365268486
0.033,0.00022091560209419082,-0.00011140161290321485,-0.0003012917365268486
0.034,0.00015516691099471368,0.00029369516129033185,-0.0013039264670657788
0.035,-0.0004365713089005772,-0.00011140161290321485,-0.0009028725748502012
0.036,-0.0008310634554974331,-0.0005164983870967615,-0.00020102826347295766
0.037,-0.0008310634554974331,-0.0005164983870967615,-0.00020102826347295766
0.038,-0.0007653147643979577,-0.0005164983870967615,9.976215568871516e-05
0.039,-0.00023932523560214573,-0.0003814661290322506,-5.013173651757796e-07
0.04,0.00028666429319366624,0.00029369516129033185,-0.0006020821556885284
0.041,0.00028666429319366624,0.00029369516129033185,-0.0006020821556885284
0.042,8.94182198952348e-05,0.00015866290322581397,-0.0006020821556885284
0.043,-0.00030507392670162115,-0.00011140161290321485,-0.0007023456287424262
0.044,-0.0008310634554974331,-0.0006515306451612794,-0.0006020821556885284
0.045,-0.0008310634554974331,-0.0006515306451612794,-0.0006020821556885284
0.046,-0.0005680686910995263,-0.0003814661290322506,-0.00010076479041906672
0.047,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.048,0.00028666429319366624,0.00029369516129033185,-0.0003012917365268486
0.049,0.00028666429319366624,0.00029369516129033185,-0.0003012917365268486
0.05,-0.00017357654450267032,-0.00011140161290321485,-0.0007023456287424262
0.051,-0.0006995660732984823,-0.0003814661290322506,-0.0007023456287424262
0.052,-0.0007653147643979577,-0.0003814661290322506,-0.0004015552095807465
0.053,-0.0007653147643979577,-0.0003814661290322506,-0.0004015552095807465
0.054,-0.00010782785340319317,2.36306451613065e-05,-0.00020102826347295766
0.055,0.00022091560209419082,0.00015866290322581397,-0.00020102826347295766
0.056,-4.207916230371776e-05,2.36306451613065e-05,-0.0007023456287424262
0.057,-4.207916230371776e-05,2.36306451613065e-05,-0.0007023456287424262
0.058,-0.0007653147643979577,-0.0003814661290322506,-0.0006020821556885284
0.059,-0.0008310634554974331,-0.0003814661290322506,-0.0003012917365268486
0.06,-4.207916230371776e-05,2.36306451613065e-05,-0.00020102826347295766
0.061,-4.207916230371776e-05,2.36306451613065e-05,-0.00020102826347295766
0.062,0.00022091560209419082,2.36306451613065e-05,-0.00020102826347295766
0.063,-0.00010782785340319317,-0.00011140161290321485,-0.0006020821556885284
0.064,-0.0007653147643979577,-0.0003814661290322506,-0.0007023456287424262
0.065,-0.0007653147643979577,-0.0003814661290322506,-0.0007023456287424262
0.066,-0.0006338173821990051,-0.0003814661290322506,-0.0004015552095807465
0.067,0.00015516691099471368,0.00015866290322581397,-0.00020102826347295766
0.068,0.00015516691099471368,0.00015866290322581397,-0.0005018186826346374
0.069,0.00015516691099471368,0.00015866290322581397,-0.0005018186826346374
0.07,-0.0003708226178010983,-0.0003814661290322506,-0.0005018186826346374
0.071,-0.0008310634554974331,-0.0007865629032257973,-0.0003012917365268486
0.072,-0.0004365713089005772,-0.0005164983870967615,9.976215568871516e-05
0.073,-0.0004365713089005772,-0.0005164983870967615,9.976215568871516e-05
0.074,0.00022091560209419082,0.00015866290322581397,-0.0008026091017963172
0.075,-4.207916230371776e-05,0.00015866290322581397,-0.0005018186826346374
0.076,-0.0008310634554974331,-0.0003814661290322506,-0.0005018186826346374
0.077,-0.0008310634554974331,-0.0003814661290322506,-0.0005018186826346374
0.078,-0.0006995660732984823,-0.0005164983870967615,9.976215568871516e-05
0.079,2.366952879575765e-05,-0.00011140161290321485,-0.0005018186826346374
0.08,8.94182198952348e-05,0.00029369516129033185,-0.00110339952095799
0.081,8.94182198952348e-05,0.00029369516129033185,-0.00110339952095799
0.082,-0.0006338173821990051,-0.0002464338709677327,-0.0004015552095807465
0.083,-0.0008310634554974331,-0.0005164983870967615,0.00020002562874261304
0.084,-4.207916230371776e-05,-0.00011140161290321485,9.976215568871516e-05
0.085,-4.207916230371776e-05,-0.00011140161290321485,9.976215568871516e-05
0.086,0.00022091560209419082,0.00015866290322581397,-0.001003136047904106
0.087,-0.0004365713089005772,2.36306451613065e-05,-0.00110339952095799
0.088,-0.0008310634554974331,-0.0003814661290322506,0.00020002562874261304
0.089,-0.0008310634554974331,-0.0003814661290322506,0.00020002562874261304
0.09,2.366952879575765e-05,-0.0002464338709677327,0.0005008160479042859
0.091,0.00022091560209419082,2.36306451613065e-05,-0.0006020821556885284
0.092,-0.0004365713089005772,-0.0002464338709677327,-0.001003136047904106
0.093,-0.0004365713089005772,-0.0002464338709677327,-0.001003136047904106
0.094,-0.0007653147643979577,-0.0002464338709677327,-0.0003012917365268486
0.095,-4.207916230371776e-05,2.36306451613065e-05,0.0005008160479042859
0.096,8.94182198952348e-05,2.36306451613065e-05,-0.0005018186826346374
0.097,8.94182198952348e-05,2.36306451613065e-05,-0.0005018186826346374
0.098,-0.0006995660732984823,-0.0005164983870967615,-0.0007023456287424262
0.099,-0.0007653147643979577,-0.0005164983870967615,-5.013173651757796e-07
0.1,2.366952879575765e-05,2.36306451613065e-05,-0.00020102826347295766
0.101,2.366952879575765e-05,2.36306451613065e-05,-0.00020102826347295766
0.102,-4.207916230371776e-05,2.36306451613065e-05,-0.0005018186826346374
0.103,-0.0008310634554974331,-0.0003814661290322506,-0.00010076479041906672
0.104,-0.0003708226178010983,-0.0003814661290322506,0.00030028910179649704
0.105,-0.0003708226178010983,-0.0003814661290322506,0.00030028910179649704
0.106,0.0004181616753926188,0.00015866290322581397,-0.0003012917365268486
0.107,-0.00023932523560214573,2.36306451613065e-05,-0.001003136047904106
0.108,-0.0009625608376963874,-0.0003814661290322506,9.976215568871516e-05
0.109,-0.0009625608376963874,-0.0003814661290322506,9.976215568871516e-05
0.11,-4.207916230371776e-05,-0.0003814661290322506,0.0004005525748503949
0.111,0.00015516691099471368,0.00015866290322581397,-0.0006020821556885284
0.112,0.00015516691099471368,0.00015866290322581397,-0.0006020821556885284
0.113,0.00015516691099471368,0.00015866290322581397,-0.0006020821556885284
0.114,0.00015516691099471368,0.00015866290322581397,-0.0006020821556885284
0.115,0.00015516691099471368,0.00015866290322581397,-0.0006020821556885284
0.116,-0.0003708226178010983,-0.0002464338709677327,-0.0005018186826346374
0.117,-0.0003708226178010983,-0.0002464338709677327,-0.0005018186826346374
0.118,-0.0008310634554974331,-0.0003814661290322506,-0.0006020821556885284
0.119,-0.0008310634554974331,-0.0003814661290322506,-0.0006020821556885284
0.12,-0.0008310634554974331,-0.0003814661290322506,-0.0006020821556885284
0.121,-0.0008310634554974331,-0.0003814661290322506,-0.0006020821556885284
0.122,-0.0008310634554974331,-0.0003814661290322506,-0.0003012917365268486
0.123,-0.0005023200000000509,-0.0005164983870967615,0.00030028910179649704
0.124,0.00022091560209419082,2.36306451613065e-05,-0.0006020821556885284
0.125,0.00022091560209419082,2.36306451613065e-05,-0.0006020821556885284
0.126,-0.0003708226178010983,-0.00011140161290321485,-0.001003136047904106
0.127,-0.0007653147643979577,2.36306451613065e-05,-0.00010076479041906672
0.128,0.00028666429319366624,2.36306451613065e-05,0.00020002562874261304
0.129,0.00028666429319366624,2.36306451613065e-05,0.00020002562874261304
0.13,-0.00030507392670162115,-0.0002464338709677327,-0.0007023456287424262
0.131,-0.0008310634554974331,-0.0003814661290322506,-0.00020102826347295766
0.132,0.00015516691099471368,0.00015866290322581397,-0.0003012917365268486
0.133,0.00015516691099471368,0.00015866290322581397,-0.0003012917365268486
0.134,-0.00010782785340319317,0.00015866290322581397,-0.0009028725748502012
