x_mag,y_mag,z_mag,force (kg)
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0025
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.005
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0075
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.01
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0125
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.015
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0175
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.02
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0225
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.025
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0275
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.03
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0325
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.035
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0375
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.04
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0425
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.045
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0475
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.05
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0525
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.055
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0575
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.06
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0625
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.065
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0675
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.07
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0725
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.075
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.0775
7.692596858640925e-05,0.00026601354838715063,-0.0002616876646706484,0.08
-0.00025181748691097475,-0.00337985741935478,-0.0014648493413173536,0.0825
-0.00025181748691097475,-0.00337985741935478,-0.0014648493413173536,0.085
-0.00025181748691097475,-0.00337985741935478,-0.0014648493413173536,0.0875
-0.00025181748691097475,-0.00337985741935478,-0.0014648493413173536,0.09
-0.00025181748691097475,-0.00337985741935478,-0.0014648493413173536,0.0925
-0.00025181748691097475,-0.005540373548387045,-0.002367220598802379,0.095
-0.00025181748691097475,-0.005540373548387045,-0.002367220598802379,0.0975
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.1
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.1025
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.105
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.1075
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.11
0.0008001615706806492,-0.005540373548387045,-0.002367220598802379,0.1125
0.0009316589528796035,-0.005675405806451567,-0.0026680110179640656,0.115
0.0009316589528796035,-0.005675405806451567,-0.0026680110179640656,0.1175
0.0009316589528796035,-0.005675405806451567,-0.0026680110179640656,0.12
0.0009316589528796035,-0.005675405806451567,-0.0026680110179640656,0.1225
0.0009316589528796035,-0.005675405806451567,-0.0026680110179640656,0.125
0.0009316589528796035,-0.003649921935483816,-0.0018659032335329312,0.1275
0.0009316589528796035,-0.003649921935483816,-0.0018659032335329312,0.13
0.0016548945549738452,-0.005405341290322531,-0.0027682744910179566,0.1325
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.135
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.1375
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.14
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.1425
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.145
0.0005371668062827441,-0.005405341290322531,-0.0027682744910179566,0.1475
