force (kg),x_mag,y_mag,z_mag
0.0,0.0011894370157068263,-0.0019766390322580596,-0.00039097365269453316
0.005,0.0011894370157068263,-0.0018416067741935417,-0.000591500598802315
0.01,0.0011255533245575038,-0.0019656043166818,-0.0005938505987531373
0.015,0.0011938970155745045,-0.0018204690216243342,-0.0005959005987173777
0.02,0.001197222015459392,-0.001811299268964596,-0.0005976505986950223
0.025,0.0012670257064111238,-0.0016680320688234537,-0.0005991005986860851
0.03,0.0012060620160905308,-0.0015257011247431281,-0.0003997236527690379
0.035,0.0012115770149182577,-0.001519340065854663,-0.00040057365260065536
0.04,0.0012835707070032974,-0.0017839824332334525,-0.0006016505988142365
0.045,0.0012905457054938098,-0.0017795004069108694,-0.0006019005987844342
0.05,0.001363999400791835,-0.0019109918853477143,-0.0003010601795691084
0.055,0.00137243439921708,-0.0019083934069411123,-0.0003007101795661285
0.06,0.0012501020151387942,-0.00177170593845157,-0.0006008505988499974
0.065,0.0012599970129548808,-0.0017709948862575653,-0.0005999005990973555
0.07,0.0013363707015658626,-0.001771228803044084,-0.0006989140725237736
0.075,0.00134772570750487,-0.0017724084212920512,-0.0006973640717548787
0.08,0.0010310672587296975,-0.001099373102607791,0.00020685718682091764
0.085,0.0017013691575901487,-0.0015075427687961732,-0.0015957353301637792
0.09,0.001123175944895697,-0.0015115630830556288,-0.0010919679636068602
0.095,0.0007429588062828826,-0.001651563487021574,0.0005149976068647422
0.1,0.0020729376141365736,-0.0012523830145993679,1.673023875809615e-05
0.105,0.002022923931499764,-0.0009891832279936372,-0.0005815005977592297
0.11,0.0010531585491748343,-0.0014020933137536846,-0.0008786410204554701
0.115,0.0018593378513098446,-0.0011407908097699013,-0.0015765353298299936
0.12,0.0013512733322385301,-0.0014205660434370281,-0.0009707044891820588
0.125,0.0011069335500063192,-0.001431225386027449,-0.0008658910204852668
0.13,0.0008633237958115391,-0.0014428332421874933,-0.00035972365269452966
0.135,0.0018039204516729565,-0.0010502925803799086,-0.00015404671164121614
0.14,0.0009042838185674001,-0.0014688934791842207,-0.00014859670057859597
0.145,0.0007943614162280385,-0.001618377411843749,0.0002582071863321614
0.15,0.0009481637768942175,-0.0013637116978781755,-0.0005378506039759937
0.155,0.0011026962059054665,-0.0013800571369846932,-0.0008322910102153899
0.16,0.0015209533303603886,-0.0015323807534227928,0.0002772571872500726
0.165,0.0016769456890250462,-0.001280552862489225,-0.001721062280527333
