force (kg),x_mag,y_mag,z_mag
0.0,8.94182198952348e-05,2.36306451613065e-05,-0.0003012917365268486
0.001,2.366952879575765e-05,-0.00011140161290321485,9.976215568871516e-05
0.002,-4.207916230371776e-05,-0.0003814661290322506,0.0004005525748503949
0.003,2.366952879575765e-05,-0.0005164983870967615,-5.013173651757796e-07
0.004,2.366952879575765e-05,-0.0005164983870967615,-5.013173651757796e-07
0.005,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.006,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.007,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.008,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.009,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.01,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.011,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.012,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.013,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.014,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.015,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.016,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.017,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.018,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.019,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.02,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.021,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.022,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.023,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.024,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.025,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.026,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.027,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.028,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.029,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.03,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.031,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.032,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.033,2.366952879575765e-05,2.36306451613065e-05,-0.0003012917365268486
0.034,8.94182198952348e-05,-0.0002464338709677327,0.0016037142514971
0.035,8.94182198952348e-05,-0.0002464338709677327,0.0016037142514971
