force (kg),x_mag,y_mag,z_mag
0.0,-3.287434555080543e-07,-3.1057419354852626e-05,8.371999999992608e-05
0.005,-3.287434555080543e-07,-3.1057419354852626e-05,8.371999999992608e-05
0.01,-3.287434555080543e-07,-3.1057419354852626e-05,8.371999999992608e-05
0.015,-3.287434555080543e-07,-3.1057419354852626e-05,8.371999999992608e-05
0.02,-3.46301373901018e-05,-1.5750660519000745e-05,-8.705973236690367e-06
0.025,0.00015394336255645895,0.000255549851271698,-5.94347330429984e-06
0.03,0.0001466551027890263,0.0002548528838573032,-3.1059728397564434e-06
0.035,0.0001407532175413742,0.00025222433975372657,-1.9347344958758894e-07
0.04,0.00013623965016661306,0.00024766645820017974,2.7940270361861974e-06
0.045,0.00013311624227703607,0.00024118233788802783,5.856526391713468e-06
0.05,0.0003286307932086948,-3.728859827627608e-05,0.0005103113933509693
0.055,0.0002625440870954055,-4.761250853583046e-05,0.000513523892699784
0.06,-6.514236812261293e-05,-5.984827082293476e-05,0.0007173383381251022
0.065,-0.00019418633449991111,0.00019607511826841935,0.0005201738913035436
0.07,7.265955201115476e-05,0.0003150682117114643,2.229402528902691e-05
0.075,7.790956609808088e-05,0.0002971391584594956,2.5806527157633263e-05
0.08,8.455954156205356e-05,0.00027732922225758364,2.939402910670519e-05
0.085,9.26104276136111e-05,0.00025564825779935026,3.3056525622812694e-05
0.09,0.00010206310099658729,0.0002321068427704352,3.6794027621057934e-05
0.095,0.00011291829400941582,0.00020671646607013303,4.0606529699768745e-05
0.1,0.00012517662109101657,-0.00022560733695273314,0.000846601810441383
0.105,0.00033608471632267864,-0.00025465802828301184,0.0008505643125692672
0.11,0.00033608471632267864,-0.00025465802828301184,0.0008505643125692672
0.115,0.00036762131699471894,0.00022195505898084562,5.660652645132075e-05
0.12,0.0003854964202304797,0.00018751985181125058,6.079402870884376e-05
0.125,0.0004047761733226331,0.00015132124856126732,0.00026558347074712857
0.13,0.0004047761733226331,0.00015132124856126732,0.00026558347074712857
0.135,0.0002503034640081222,0.0002087345611717752,0.0006753873610255423
0.14,0.00020804804904016663,-0.00010271415436773502,0.0004793479240164031
0.145,0.00023294518269560346,-0.00014578927627786984,0.00048391041970997223
0.15,0.00025924578054909754,-0.00019053549834193578,0.0002880209691527025
0.155,0.0007471901942014015,-0.00023693230144581018,0.000894314317039617
0.16,0.0009077932850832023,-0.0004199903013957654,0.0008991018125275446
0.165,0.0009383004172178536,-0.0004696230576459407,0.0009039643078724222
0.17,0.0012332029351331125,-0.00025077572393949294,0.0004075844526314418
0.175,0.0004775258179051528,-3.3489097025270025e-05,0.00011180652875205505
0.18,0.0013012156842719912,-0.0004929005450489271,0.0008187383352685484
0.185,0.0008113290077855009,-0.0001436306798725303,0.00012205653438469855
0.19,0.0009145762778916284,-0.0002009441409138949,0.0005283479216769207
0.195,0.0009534692423629962,-0.000124686091047016,0.00023286999744884934
0.2,0.0009937550360535324,-0.0001848944727956994,0.00023825749223940068
0.205,0.0010354321194965092,-0.00038154230810726573,4.3193057170411164e-05
0.21,0.0015387393067247002,-0.00044453697448767777,4.8730551898377994e-05
0.215,0.0015831931597358115,-0.0006439148705399958,0.0009567143039683201
0.22,0.0014975352784576106,-0.0004395183182078345,0.00026055750409476747
0.225,0.0015447580503146693,-0.000506478844569246,0.0002663199986170997
0.23,0.0015933620144128677,-0.0005747022436267918,0.00027215749299638187
0.235,0.0016433449990218164,-0.0006441583455658972,0.000278070004964992
0.24,0.0017604529650707326,-0.0005797836219017375,8.353055317391472e-05
0.245,0.0018131861355249988,-0.0006516114775048263,0.0001898565204014463
0.25,0.0021302854779241247,-0.0005895458569190552,0.00019599403283497574
0.255,0.002185758380235589,-0.0006636186592742059,0.0002022065269460388
0.26,0.0022425968958173677,-0.0007387652555824291,0.00020849402091404484
0.265,0.0023007980449280367,-0.0008149526737122308,1.4329568631225864e-05
0.27,0.0023603587383265907,-0.0006220830596339669,2.0767062313131746e-05
0.275,0.0024870248355018474,-0.0011053490049496347,0.00012754306794692666
0.28,0.0025492949198094913,-0.0011844575042798868,0.00013413056178977062
0.285,0.002875909388061716,-0.0011294392235786403,0.0004415834746512304
0.29,0.002875909388061716,-0.0011294392235786403,0.0004415834746512304
0.295,0.0030071834359508658,-0.0012920449655870973,0.000455133461621654
0.3,0.003074830397006975,-0.0013745667752687518,0.0004620209548922907
0.305,0.002683571789090412,-0.0015928869542961048,0.0004689834897431272
0.31,0.003016879264405272,-0.0016769044853594626,0.0006765479292824769
0.315,0.0030885187889106366,-0.0017616164417860423,0.0006836604225709947
0.32,0.0031614809427662795,-0.0018469869975379586,0.0006908479157164554
0.325,0.0035645048877318685,-0.0013928511712724967,0.0003973199895571933
0.33,0.0041003401472716715,-0.0012093664637139552,0.0005049209554704517
0.335,0.004177244451029849,-0.0012964972743967629,0.0005123334925922277
0.34,0.004452699170975264,-0.0016542063946549963,0.001021138350881988
0.345,0.004269213118861692,-0.00174232911738296,0.0012292277898670115
0.35,0.004350017055547094,-0.0018308937694307406,0.001236865282601203
0.355,0.004563608648096655,-0.0013797351590339787,0.000542733463815108
0.36,0.004712736762976495,-0.0020092042801048557,0.00095157484847877
0.365,0.00479739673886625,-0.0020988785523441385,0.0009594373878714785
0.37,0.004883330978383721,-0.0021888500314800495,0.000967374880480501
0.375,0.0049047859024952106,-0.0020090189672290195,0.0014767047382159282
0.38,0.004993253395165239,-0.0020994787922914687,0.0014847922305388506
0.385,0.005214476539759269,-0.0017850328137972004,0.00028979304607202466
0.39,0.005305454854645815,-0.0018758394038703241,0.00029803053810883995
0.395,0.005305454854645815,-0.0018758394038703241,0.00029803053810883995
0.4,0.006214381888341466,-0.0025979101468917125,0.0010165748833474847
0.405,0.005848841631950123,-0.0020138144827697617,0.0007242469562405082
0.41,0.005944770801779376,-0.0021048980604469287,0.0007327844481521545
0.415,0.006041922295400742,-0.002195965997899763,0.0007413969399207507
0.42,0.006140289738582478,-0.002286985113770338,0.0007500844315463037
0.425,0.006239866647593269,-0.002377922669121767,0.0007588469230287997
0.43,0.006340647033468696,-0.00246874694086635,0.0007676844672673613
0.435,0.006442622992054845,-0.0025594250898851372,0.0007765969589107954
0.44,0.00654578830823767,-0.0026499264427044074,0.0007855844504111725
0.445,0.0066501360602868615,-0.0027402203588658787,0.0007946469417684995
0.45,0.007939135656763118,-0.0025602122906014336,0.0006032574868749876
0.455,0.007191094093062624,-0.00197484059150775,0.0007127334510001054
0.46,0.008679669686719066,-0.0023343996645626497,0.0005214940514018246
0.465,0.008459932326295867,-0.00215350560737368,0.0010321739079034373
0.47,0.008570084606046335,-0.002242325255121522,0.0010416113989925452
0.475,0.008681375491744638,-0.0023307676293650515,0.0006500699977230323
0.48,0.008944370256142543,-0.0024657998874295676,0.0006500699977230323
0.485,0.008249855307578288,-0.00210132207934829,0.0007695834522398817
0.49,0.008364516130489654,-0.0021884827792848687,0.0007793210010203222
0.495,0.008364516130489654,-0.0021884827792848687,0.0007793210010203222
0.5,0.009517631553223072,-0.002361357551766574,0.0008992844555729337
0.505,0.009898583560209414,-0.0025820614516129164,0.0007087199999999266
0.51,0.009898583560209414,-0.0025820614516129164,0.0007087199999999266
0.515,0.009898583560209414,-0.0025820614516129164,0.0007087199999999266
0.52,0.010137737057091515,-0.0026167414188360454,0.0013304508189636993
0.525,0.010578398397209388,-0.003189255797928713,0.0012506373259780143
0.53,0.010578398397209388,-0.003189255797928713,0.0012506373259780143
0.535,0.010578398397209388,-0.003189255797928713,0.0012506373259780143
0.54,0.010578398397209388,-0.003189255797928713,0.0012506373259780143
0.545,0.010578398397209388,-0.003189255797928713,0.0012506373259780143
0.55,0.012914586744407318,-0.003191878605852145,0.0014033383739549474
0.555,0.013042975284384193,-0.0032714725325190524,0.001414050863953284
0.56,0.012253990991190475,-0.0007058596292932439,0.0008124700256299244
0.565,0.012253990991190475,-0.0007058596292932439,0.0008124700256299244
0.57,0.01113285649119214,-0.0024259544623165333,0.0008450574947666406
0.575,0.013697860921347406,-0.0029079368352431904,0.0011568604033544566
0.58,0.01383111793889136,-0.0029841389988248344,0.0011679478926375428
0.585,0.013965319126783409,-0.003059658479655598,0.001179110381777572
0.59,0.013965319126783409,-0.003059658479655598,0.00097858343566979
0.595,0.013965319126783409,-0.003059658479655598,0.00097858343566979
0.6,0.012461298855543151,-0.003208661076755919,0.0016027142518440576
0.605,0.014971604481569757,-0.0032199545908857836,0.000923720054836201
0.61,0.01511037288347594,-0.0032921339427583757,0.0009352575441550492
0.615,0.013606305952297225,-0.002823543946776563,0.0007463430872230725
0.62,0.013746827488787859,-0.0028944564732459894,0.0007580305762558137
0.625,0.015268931864830746,-0.0016144357690079953,0.0014716373765227553
0.63,0.01541116308102911,-0.001684144957551044,0.0014834748652693963
0.635,0.01541116308102911,-0.001684144957551044,0.0014834748652693963
0.64,0.013791417090901514,-0.0038473517968675656,0.0015073748423335281
0.645,0.01571134409221081,-0.0022950253586568846,0.0008175930192737754
0.65,0.016777342474600512,-0.003172780735059477,0.0013310478727176708
0.655,0.016777342474600512,-0.003172780735059477,0.0013310478727176708
0.66,0.016777342474600512,-0.003172780735059477,0.0013310478727176708
0.665,0.015690020279260163,-0.002226269100630311,0.001355547848637395
0.67,0.015000269796049624,-0.0027634998899326822,0.0007787671343751496
0.675,0.015000269796049624,-0.0027634998899326822,0.0007787671343751496
0.68,0.015000269796049624,-0.0027634998899326822,0.0007787671343751496
0.685,0.019395470505430806,-0.0024192199993422585,0.0007162661259518602
0.69,0.016325312336157125,-0.0026190834839569677,0.0012303209791454175
0.695,0.01647753676754795,-0.002683769650837718,0.0008420795747108994
0.7,0.017945419251504245,-0.0022082344389963773,0.000854967062348895
0.705,0.017945419251504245,-0.0022082344389963773,0.000854967062348895
0.71,0.019502463825700846,-0.0015271767897375495,0.0006804400910879541
0.715,0.01788213438742843,-0.0029421614854902873,0.0010946064705123562
0.72,0.01803765271956511,-0.0030069714379403426,0.0011077939575781515
0.725,0.019903258942259375,-0.0029369654026295093,0.001822900914426502
0.73,0.02025725030566084,-0.0012468578040048355,0.00153544798293858
0.735,0.02025725030566084,-0.0012468578040048355,0.00153544798293858
0.74,0.020572508366442394,-0.0013786396137495417,0.0015623479578569452
0.745,0.02073099426319696,-0.0014452675897149853,0.0015759104451015457
0.75,0.02089003330574546,-0.0015124978335732675,0.001589547932203103
0.755,0.021049611783376956,-0.0015804178024193677,0.0016032604191616104
0.76,0.021538459331378317,-0.0012440216831459284,0.001015467067653708
0.765,0.021538459331378317,-0.0012440216831459284,0.001015467067653708
0.77,0.020413717328475287,-0.0034096306427488596,0.001745111352232702
0.775,0.020413717328475287,-0.0034096306427488596,0.001745111352232702
0.78,0.02297283590661718,-0.0031489634544398983,0.001672947851808361
0.785,0.021820383115850987,-0.0018727361893347647,0.0012860564456929832
0.79,0.022443587324109414,-0.002218300315757012,0.0010997671557136102
0.795,0.023527456237242853,-0.0018902228199537754,0.0012143431154756704
0.8,0.024019998041508575,-0.0026440451101219144,0.0016297844942563464
0.805,0.024578684842193305,-0.002184344013318478,0.0016442469806784085
0.81,0.024348768739796196,-0.0014564746652829218,0.0019595748861191004
0.815,0.025105449369295894,-0.0011357318640766115,0.0019741873722550624
0.82,0.025402240392297104,-0.0005470920692841781,0.001086503600762935
0.825,0.023266665832109158,-0.0025263747564540206,0.0013017930327205857
0.83,0.024090103005683143,-0.0016724360300038408,0.0015171574645351654
0.835,0.02629456786392608,-0.0013612332042686297,0.0010307525848294655
0.84,0.026263866824161625,-0.0015929216430136516,0.001146003543304061
0.845,0.024918465880077748,-0.0023676612767672845,0.0012613295016356066
0.85,0.025348539715336897,-0.002740392105420446,0.0009756767485086318
0.855,0.025450110330461545,-0.0020361196554479176,0.0012916796535559216
0.86,0.026209394071947903,-0.0026855998063449616,0.0014072306123523864
0.865,0.025851160160405756,-0.0018533340016048516,0.0014225930979519033
0.87,0.027334083466107592,-0.0006197640699629487,0.001638557529516145
0.875,0.027502210477575048,-0.000740498099971133,0.0016540700148295617
0.88,0.027502210477575048,-0.000740498099971133,0.0016540700148295617
0.885,0.027838931181463425,-0.0009946904968660564,0.001685319985027238
0.89,0.028073240340078867,-0.0028839711522011327,0.002001847889073184
0.895,0.030345870000723335,-0.0016722972593258608,0.0020176603738143936
0.9,0.028870918460441472,-0.0014108511772201997,0.002133811331466444
0.905,0.029500002231385686,-0.0025049496837641037,0.002149773815921553
0.91,0.029500002231385686,-0.0025049496837641037,0.002149773815921553
0.915,0.029311863641092957,-0.002684238165927569,0.002181923976925619
0.92,0.029480835093468313,-0.002850151916816611,0.0021981114618456477
0.925,0.031227783250265588,-0.0012668036294949375,0.0020138470005148373
0.93,0.03139675339550968,-0.001445280022511446,0.002030184485148759
0.935,0.031565696462888225,-0.0016304155681077046,0.002247123915747412
0.94,0.030748364323709684,-0.0037129215978054207,0.0017622940348257718
0.945,0.030748364323709684,-0.0037129215978054207,0.0017622940348257718
0.95,0.030748364323709684,-0.0037129215978054207,0.0017622940348257718
0.955,0.03296407666935955,-0.002442833572864159,0.0013108891217414667
0.96,0.03214638535793568,-0.0017200552739056654,0.0013276766055170877
0.965,0.032314789119448316,-0.0019508112133262822,0.0013445390891496517
0.97,0.03248303916820844,-0.0021901722148674006,0.0013614765726391656
0.975,0.03265111897806447,-0.0024384443387018683,0.0013784892592374684
0.98,0.03265111897806447,-0.0024384443387018683,0.0013784892592374684
0.985,0.03364417011205265,-0.0039081776423030585,0.0017135296464510508
0.99,0.03381161892500563,-0.004185054785268016,0.001730767130262427
0.995,0.03446910583600039,-0.0032398289788164013,0.0024326114416396705
1.0,0.035657975015631574,-0.00395950978923733,0.002066257516617702
-0.0,-0.015451271151832473,0.019278555483870953,-0.0019215494610779135
-0.005,-0.0015125486387434668,0.008340942580645149,0.002790833772455016
-0.01,-0.0014983615686384195,0.008331978029111826,0.0027883712725092213
-0.015,-0.0016142994946686164,0.007915989678795914,0.0035880915569912117
-0.02,-0.0015973703666859653,0.00790317483908072,0.0032849886378770385
-0.025,-0.0015133256995397467,0.008023473610840605,0.003282751137921182
-0.03,-0.00208540402478522,0.007736762429985852,0.002779271272296692
-0.035,-0.0019986345745489735,0.00798827343672949,0.004080608922430548
-0.04,-0.0019762560875141253,0.007967820242903266,0.004078596422096757
-0.045,-0.0012292875489091932,0.008080507659327213,0.0031742876650103363
-0.05,-0.002321931255586185,0.007516150977166311,0.0034732155831796035
-0.055,-0.0022954996261967675,0.007490050261294217,0.0034714280835715025
-0.06,-0.0022954996261967675,0.007490050261294217,0.0034714280835715025
-0.065,-0.000792136817036054,0.008512530647729137,0.0036686050303692055
-0.07,-0.000792136817036054,0.008512530647729137,0.0036686050303692055
-0.075,-0.001058642727610342,0.008582430173499142,0.003063974191530268
-0.08,-0.001683015998969398,0.007871977436652657,0.003263088636904922
-0.085,-0.0013198345325942228,0.007834888600637835,0.0032617511381894046
-0.09,-0.0016785684416894125,0.007796017721619173,0.0029596982183437565
-0.095,-0.0016414943846518228,0.00775538110823802,0.0029585107177402606
-0.1,-0.0014058629592105815,0.0075779636120932425,0.003558979057142461
-0.105,-0.0010374273178194934,0.007533847451112394,0.0027558337721569973
-0.11,-0.0015224226305050013,0.007623051359806954,0.002554344326953714
-0.115,-0.0009541415279616192,0.007710562313188637,0.002352929880340783
-0.12,-0.0013050497075487444,0.007931432763831672,0.003053961691293343
-0.125,-0.001260178428855046,0.007880586890658896,0.003053224191992207
-0.13,-0.0006222866081070141,0.007423013899240789,0.0034536155838322743
-0.135,-0.0011482761369028278,0.007828110673434337,0.0030525616916166967
-0.14,-0.0005919023692743716,0.0071782284940494715,0.0034525155833226573
-0.145,-0.0005919023692743716,0.0071782284940494715,0.0034525155833226573
-0.15,-0.0004907047854798667,0.0070622318559557945,0.003451715584103475
-0.155,-0.00030672312713328313,0.0072720180953972785,0.0035516915565881324
-0.16,-0.000252989792048049,0.007210254355926633,0.003551479056844435
-0.165,-0.000252989792048049,0.007210254355926633,0.003551479056844435
-0.17,-0.00014179898048534943,0.007082376356973657,0.0035512790568533736
-0.175,-0.00014179898048534943,0.007082376356973657,0.0035512790568533736
-0.18,0.0002373111870563431,0.006813849912886414,0.0031503251645960823
-0.185,0.00029720023749327425,0.006745067824863555,0.0031504876649566874
-0.19,0.00035830134381365647,0.006674968671981987,0.003150725164801721
-0.195,-3.963270174009263e-05,0.006738614678773203,0.0031510376645036975
-0.2,0.0005498626487895498,0.007071068835738799,0.0027503712718470533
-0.205,8.857140017359821e-05,0.0067271363943222275,0.003151887664968614
-0.21,0.0001544548779211074,0.006652075412586882,0.003152425164464949
-0.215,0.00022151675954852276,0.006575853482349028,0.003153037663818241
-0.22,0.00028975015591544556,0.006498503195966435,0.00315372516518915
-0.225,0.00035914745657271777,0.006420058320157835,0.0031544876644798506
-0.23,0.00035914745657271777,0.006420058320157835,0.0031544876644798506
-0.235,0.0006269476231987835,0.007015713685464825,0.0025537443253041553
