force (kg),x_mag,y_mag,z_mag
0.0,0.00028666429319366624,2.36306451613065e-05,-0.001203662994011874
0.001,0.00028666429319366624,2.36306451613065e-05,-0.001203662994011874
0.002,0.00028666429319366624,2.36306451613065e-05,-0.001203662994011874
0.003,0.00028666429319366624,2.36306451613065e-05,-0.0013039264670657788
0.004,0.00028666429319366624,2.36306451613065e-05,-0.0013039264670657788
0.005,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.006,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.007,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.008,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.009,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.01,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.011,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.012,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.013,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.014,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.015,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.016,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.017,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.018,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.019,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.02,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.021,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.022,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.023,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.024,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.025,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.026,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.027,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.028,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.029,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.03,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.031,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.032,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.033,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.034,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.035,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.036,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.037,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.038,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.039,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.04,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.041,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.042,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.043,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.044,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.045,-4.207916230371776e-05,2.36306451613065e-05,-0.0013039264670657788
0.046,-4.207916230371776e-05,-0.004567466129032249,-0.0020057707784430154
0.047,-4.207916230371776e-05,-0.004567466129032249,-0.0020057707784430154
0.048,0.00022091560209419082,-0.004567466129032249,-0.0020057707784430154
0.049,0.00022091560209419082,-0.003352175806451606,-0.0004015552095807465
0.05,0.00022091560209419082,-0.0017317887096774086,-0.0007023456287424262
0.051,0.00022091560209419082,-0.0017317887096774086,-0.0007023456287424262
0.052,8.94182198952348e-05,-0.0017317887096774086,-0.0007023456287424262
0.053,8.94182198952348e-05,-0.0017317887096774086,-0.0007023456287424262
0.054,8.94182198952348e-05,-0.0017317887096774086,-0.0007023456287424262
0.055,8.94182198952348e-05,-0.0017317887096774086,-0.0007023456287424262
0.056,8.94182198952348e-05,-0.0017317887096774086,-0.0007023456287424262
0.057,8.94182198952348e-05,-0.0014617241935483728,-0.0006020821556885284
0.058,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.059,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.06,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.061,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.062,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.063,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.064,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.065,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.066,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.067,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.068,0.00015516691099471368,-0.0014617241935483728,-0.0006020821556885284
0.069,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.07,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.071,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.072,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.073,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.074,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.075,0.00022091560209419082,-0.004837530645161278,-0.0019055073053891244
0.076,0.0004181616753926188,-0.004702498387096771,-0.0014041899401196628
0.077,0.0004181616753926188,-0.004702498387096771,-0.0014041899401196628
0.078,0.0004181616753926188,-0.004702498387096771,-0.0014041899401196628
0.079,0.0004181616753926188,-0.004702498387096771,-0.0014041899401196628
0.08,0.0004181616753926188,-0.004702498387096771,-0.0014041899401196628
0.081,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.082,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.083,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.084,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.085,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.086,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.087,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.088,0.00015516691099471368,-0.0029470790322580556,-0.002306561197604688
0.089,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.09,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.091,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.092,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.093,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.094,0.00028666429319366624,-0.0042974016129032275,-0.0003012917365268486
0.095,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.096,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.097,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.098,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.099,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.1,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.101,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.102,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.103,0.00015516691099471368,-0.0013266919354838619,-0.001003136047904106
0.104,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
0.105,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
0.106,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
0.107,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
0.108,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
0.109,0.00022091560209419082,-0.005782756451612893,-0.0005018186826346374
