duty cycle,x_mag_raw,y_mag_raw,z_mag_raw,x_mag_corr,y_mag_corr,z_mag_corr
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00125,-0.00018399953842163086,0.0,0.0,-0.00013149738219895082,0.0,0.0
0.0025,-0.00018399953842163086,0.0,0.0,-0.00013109956970835251,2.8459329578511827e-06,-6.156249864885943e-07
0.00375,-0.00018399953842163086,0.0,0.0,-0.00013065613221979397,5.633714146191515e-06,-1.212499973757275e-06
0.005,-0.00018399953842163086,0.0,0.0,-0.0001301670697332752,8.36331707798621e-06,-1.7906249618615533e-06
0.00625,-0.00036800093948841095,0.0,0.0,-0.00026112976444775046,1.103471557628577e-05,-2.3499999508569402e-06
0.0075,-0.00036800093948841095,0.0,0.0,-0.00026054945185296705,1.3647884256284826e-05,-2.8906250396087962e-06
0.00875,-0.00036800093948841095,0.0,0.0,-0.00025992351448490825,1.620279611835862e-05,-3.4124999312989956e-06
0.01,-0.00036800093948841095,0.0,0.0,-0.000259251951877211,1.8699427820845216e-05,-3.915625014727642e-06
0.01125,-0.0002759993076324463,0.0,0.0,-0.0001927860734307514,2.1137752569178048e-05,-4.399999915083441e-06
0.0125,-0.0002759993076324463,0.0,0.0,-0.0001920232605174682,2.3517748431789443e-05,-4.8656251632195335e-06
0.01375,-0.0002759993076324463,0.0,0.0,-0.00019121482317456182,2.5839387548631798e-05,-5.312500065246528e-06
0.015,-0.00036800093948841095,0.0,0.0,-0.00025610945195016915,2.810264771180293e-05,-5.740624975048014e-06
0.01625,-0.00036800093948841095,0.0,0.0,-0.00025610945195016915,2.810264771180293e-05,-5.740624975048014e-06
0.0175,-0.00036800093948841095,0.0,0.0,-0.00025426445235954276,3.245393671824637e-05,-6.540624818252017e-06
0.01875,-0.00036800093948841095,0.0,0.0,-0.00025426445235954276,3.245393671824637e-05,-6.540624818252017e-06
0.02,-0.0009199995547533035,0.0,0.0,-0.0006467290978633237,3.657143261925899e-05,-7.2656252049219106e-06
0.02125,-0.0008279997855424881,0.0,0.0,-0.0005798982202904653,3.854244730561174e-05,-7.599999883811659e-06
0.0225,-0.0008279997855424881,0.0,0.0,-0.0005787704071895383,4.045494843563091e-05,-7.915625054810693e-06
0.02375,-0.0008279997855424881,0.0,0.0,-0.0005775969690396641,4.230891119960667e-05,-8.21250020566211e-06
0.025,-0.0012880004942417145,0.0,0.0,-0.0009051213631887517,4.410431144730165e-05,-8.490624935963975e-06
0.02625,-0.0012880004942417145,0.0,0.0,-0.0009038566750089599,4.5841133321400385e-05,-8.750000074553288e-06
0.0275,-0.0007360000163316727,0.0,0.0,-0.0005080542171698767,4.7519350748204126e-05,-8.990624848381756e-06
0.02875,-0.0008279997855424881,0.0,0.0,-0.000572446970059648,4.913894814251307e-05,-9.212499974708965e-06
0.03,-0.0007360000163316727,0.0,0.0,-0.0005052967157015142,5.0699902683248865e-05,-9.415625080888557e-06
0.03125,-9.199976921081543e-05,0.0,0.0,-0.0005052967157015142,5.0699902683248865e-05,-9.415625080888557e-06
0.0325,0.0,0.0,0.0,2.3632812500000433e-05,5.364580154421095e-05,-9.76562500004663e-06
0.03375,-0.0007360000163316727,0.0,0.0,-0.000500818280284733,5.503070703927193e-05,-9.912499868869329e-06
0.035,-0.0007360000163316727,0.0,0.0,-0.0004992342145718198,5.635689572069946e-05,-1.0040625127438751e-05
0.03625,-0.002024000510573387,0.0,0.0,-0.0014180862039914859,5.762434096012736e-05,-1.0150000011921456e-05
0.0375,-0.0014720000326633453,0.0,0.0,-0.0010219187465086467,5.883302838438631e-05,-1.0240624932211784e-05
0.03875,-0.0014720000326633453,0.0,0.0,-0.0010201978055129068,5.9982943230285635e-05,-1.0312500074549646e-05
0.04,-0.0014720000326633453,0.0,0.0,-0.0010184312446650003,6.107406085198441e-05,-1.0365625010444468e-05
0.04125,-0.002024000510573387,0.0,0.0,-0.0014111112055009735,6.210636728265495e-05,-1.0399999982146912e-05
0.0425,-9.199976921081543e-05,0.0,0.0,-2.8530876133404243e-05,6.307984816500412e-05,-1.0415625008197704e-05
0.04375,-9.199976921081543e-05,0.0,0.0,-2.662744041059123e-05,6.399448083616033e-05,-1.0412499995560154e-05
0.045,-9.199976921081543e-05,0.0,0.0,-2.4678379774802084e-05,6.485025173530445e-05,-1.0390625018674715e-05
0.04625,-9.199976921081543e-05,0.0,0.0,-2.2683688213415848e-05,6.564714691037477e-05,-1.0349999928493947e-05
0.0475,-0.00018399953842163086,0.0,0.0,-8.639206871517702e-05,6.63851456828013e-05,-1.0290624967268514e-05
0.04875,-0.0015639998018741608,0.0,0.0,-0.0010705364996966248,6.706423489732938e-05,-1.021250004173968e-05
0.05,9.199976921081543e-05,0.0,0.0,0.00011507150051761825,6.768439924609293e-05,-1.011562515201847e-05
0.05125,-9.199976921081543e-05,0.0,0.0,-1.4248689788172453e-05,6.824562531693168e-05,-9.999999925514036e-06
0.0525,-9.199976921081543e-05,0.0,0.0,-1.2025879402570439e-05,6.87478950782694e-05,-9.865625051452831e-06
0.05375,-9.199976921081543e-05,0.0,0.0,-9.75744410399576e-06,6.91911959144198e-05,-9.712500213088227e-06
0.055,-9.199976921081543e-05,0.0,0.0,-7.443376928008977e-06,6.957551481756585e-05,-9.540624870407743e-06
0.05625,-9.199976921081543e-05,0.0,0.0,-5.083691667507467e-06,6.990083574198724e-05,-9.350000047703144e-06
0.0575,-9.199976921081543e-05,0.0,0.0,-2.6783814940228856e-06,7.016714647678501e-05,-9.140625260806168e-06
0.05875,-0.002024000510573387,0.0,0.0,-0.0013809499521242226,7.037443441793023e-05,-8.912499801838614e-06
0.06,-0.0016559995710849762,0.0,0.0,-0.001115458627590906,7.052268550655771e-05,-8.665625030601642e-06
0.06125,-9.199976921081543e-05,0.0,0.0,4.811306148579109e-06,7.06118879360007e-05,-8.400000295061272e-06
0.0625,-0.0006440002471208572,0.0,0.0,-0.00038709302270664714,7.064202950568532e-05,-8.115624719862158e-06
0.06375,0.0,0.0,0.0,7.578125000000033e-05,7.061309814448968e-05,-7.812500000037303e-06
0.065,-0.001196000725030899,0.0,0.0,-0.0007762726743699017,7.05250824493131e-05,-7.49062531590905e-06
0.06625,-0.00018399953842163086,0.0,0.0,-5.031238743938987e-05,7.03779711495045e-05,-7.150000667588419e-06
0.0675,-0.0005520004779100418,0.0,0.0,-0.00031053684208804874,7.017175328516423e-05,-6.790626055019899e-06
0.06875,-0.0005520004779100418,0.0,0.0,-0.0003077208905055591,6.990641644921691e-05,-6.412499168551022e-06
0.07,0.0,0.0,0.0,8.96328159384445e-05,6.958195346595808e-05,-6.015624515742779e-06
0.07125,-0.0011040009558200836,0.0,0.0,-0.0006964442924951506,6.919835290153387e-05,-5.599999898686647e-06
0.0725,-0.0017479993402957916,0.0,0.0,-0.0011537323205183837,6.875560503827316e-05,-5.165625317438138e-06
0.07375,-0.0019320007413625717,0.0,0.0,-0.0012822312681312585,6.825370046903423e-05,-4.71250077188623e-06
0.075,-0.0019320007413625717,0.0,0.0,-0.0012791872086322029,6.769263009720472e-05,-4.240626262141944e-06
0.07625,-0.0019320007413625717,0.0,0.0,-0.001276097505668223,6.707238126313353e-05,-3.7499988079225943e-06
0.0775,-0.00018399953842163086,0.0,0.0,-2.373706518121743e-05,6.639295288535241e-05,-3.2406242579385847e-06
0.07875,-0.00018399953842163086,0.0,0.0,-2.0556130671284256e-05,6.565433327820891e-05,-2.7124997437066867e-06
0.08,-0.0019320007413625717,0.0,0.0,-0.0012665547021384269,6.48565145872082e-05,-2.1656252652824115e-06
0.08125,-0.0019320007413625717,0.0,0.0,-0.001263282517802538,6.399948926838483e-05,-1.6000008225547369e-06
0.0825,-0.0019320007413625717,0.0,0.0,-0.001259964708553673,6.308325008830273e-05,-1.015626415634685e-06
0.08375,-0.0007360000163316727,0.0,0.0,-0.0004018682699150171,6.210778413362483e-05,-4.1249839366486185e-07
0.085,-0.0007360000163316727,0.0,0.0,-0.00039845921056825065,6.107309642033876e-05,2.0937605349491406e-07
0.08625,-0.0008279997855424881,0.0,0.0,-0.0004607532174079852,5.9979175008884056e-05,8.500004649025783e-07
0.0875,-0.0008279997855424881,0.0,0.0,-0.0004572529082352665,5.882601390827524e-05,1.5093748405581309e-06
0.08875,-0.0008279997855424881,0.0,0.0,-0.0004537069741495682,5.7613607437612124e-05,2.1874991804060606e-06
0.09,-0.00138000026345253,0.0,0.0,-0.0008446075617477532,5.6341950227078996e-05,2.8843734845018787e-06
0.09125,-0.00138000026345253,0.0,0.0,-0.000840970356020803,5.5011029107432385e-05,3.600002074222175e-06
0.0925,-0.0018400009721517563,0.0,0.0,-0.0011660310024216095,5.362085519555748e-05,4.334376418557717e-06
0.09375,-0.0018400009721517563,0.0,0.0,-0.0011623025684120575,5.217141629654254e-05,5.087500727141148e-06
0.095,-0.0007360000163316727,0.0,0.0,-0.00036954421629581055,5.066270828246733e-05,5.8593749999724665e-06
0.09625,-0.0007360000163316727,0.0,0.0,-0.00036954421629581055,5.066270828246733e-05,5.8593749999724665e-06
